Day,Time,Court,Reserved By
Monday,06:00,Court-1,matthewcoscia
Monday,06:30,Court-1,OPEN
Monday,07:00,Court-1,OPEN
Monday,07:30,Court-1,OPEN
Monday,08:00,Court-1,paigep
Monday,08:30,Court-1,OPEN
Monday,09:00,Court-1,OPEN
Monday,09:30,Court-1,OPEN
Monday,10:00,Court-1,kaytranada
Monday,10:30,Court-1,OPEN
Monday,11:00,Court-1,OPEN
Monday,11:30,Court-1,LESSON-mcisaac
Monday,12:00,Court-1,OPEN
Monday,12:30,Court-1,OPEN
Monday,13:00,Court-1,OPEN
Monday,13:30,Court-1,OPEN
Monday,14:00,Court-1,OPEN
Monday,14:30,Court-1,OPEN
Monday,15:00,Court-1,OPEN
Monday,15:30,Court-1,OPEN
Monday,16:00,Court-1,OPEN
Monday,16:30,Court-1,OPEN
Monday,17:00,Court-1,OPEN
Monday,17:30,Court-1,OPEN
Monday,18:00,Court-1,OPEN
Monday,18:30,Court-1,OPEN
Monday,19:00,Court-1,OPENPLAY-RANK: A
Monday,19:30,Court-1,OPEN
Monday,20:00,Court-1,OPEN
Monday,20:30,Court-1,OPEN
Monday,21:00,Court-1,OPEN
Monday,21:30,Court-1,OPEN
Monday,22:00,Court-1,OPEN
Monday,22:30,Court-1,OPEN
Monday,23:00,Court-1,OPEN
Monday,23:30,Court-1,OPEN
Tuesday,06:00,Court-1,OPEN
Tuesday,06:30,Court-1,OPEN
Tuesday,07:00,Court-1,OPEN
Tuesday,07:30,Court-1,OPEN
Tuesday,08:00,Court-1,OPEN
Tuesday,08:30,Court-1,OPEN
Tuesday,09:00,Court-1,OPEN
Tuesday,09:30,Court-1,OPEN
Tuesday,10:00,Court-1,matthewcoscia
Tuesday,10:30,Court-1,OPEN
Tuesday,11:00,Court-1,OPEN
Tuesday,11:30,Court-1,OPEN
Tuesday,12:00,Court-1,OPEN
Tuesday,12:30,Court-1,OPEN
Tuesday,13:00,Court-1,OPEN
Tuesday,13:30,Court-1,OPEN
Tuesday,14:00,Court-1,OPEN
Tuesday,14:30,Court-1,OPEN
Tuesday,15:00,Court-1,OPEN
Tuesday,15:30,Court-1,OPEN
Tuesday,16:00,Court-1,OPEN
Tuesday,16:30,Court-1,OPEN
Tuesday,17:00,Court-1,OPEN
Tuesday,17:30,Court-1,OPEN
Tuesday,18:00,Court-1,OPEN
Tuesday,18:30,Court-1,OPEN
Tuesday,19:00,Court-1,OPEN
Tuesday,19:30,Court-1,OPEN
Tuesday,20:00,Court-1,OPEN
Tuesday,20:30,Court-1,OPEN
Tuesday,21:00,Court-1,OPEN
Tuesday,21:30,Court-1,OPEN
Tuesday,22:00,Court-1,OPEN
Tuesday,22:30,Court-1,OPEN
Tuesday,23:00,Court-1,OPEN
Tuesday,23:30,Court-1,OPEN
Wednesday,06:00,Court-1,OPEN
Wednesday,06:30,Court-1,OPEN
Wednesday,07:00,Court-1,OPEN
Wednesday,07:30,Court-1,OPEN
Wednesday,08:00,Court-1,OPEN
Wednesday,08:30,Court-1,OPEN
Wednesday,09:00,Court-1,OPEN
Wednesday,09:30,Court-1,OPEN
Wednesday,10:00,Court-1,OPEN
Wednesday,10:30,Court-1,OPEN
Wednesday,11:00,Court-1,OPEN
Wednesday,11:30,Court-1,OPEN
Wednesday,12:00,Court-1,OPEN
Wednesday,12:30,Court-1,OPEN
Wednesday,13:00,Court-1,OPEN
Wednesday,13:30,Court-1,OPEN
Wednesday,14:00,Court-1,OPEN
Wednesday,14:30,Court-1,OPEN
Wednesday,15:00,Court-1,OPEN
Wednesday,15:30,Court-1,OPEN
Wednesday,16:00,Court-1,OPEN
Wednesday,16:30,Court-1,OPEN
Wednesday,17:00,Court-1,OPEN
Wednesday,17:30,Court-1,OPEN
Wednesday,18:00,Court-1,OPEN
Wednesday,18:30,Court-1,OPEN
Wednesday,19:00,Court-1,OPEN
Wednesday,19:30,Court-1,OPEN
Wednesday,20:00,Court-1,OPEN
Wednesday,20:30,Court-1,OPEN
Wednesday,21:00,Court-1,OPEN
Wednesday,21:30,Court-1,OPEN
Wednesday,22:00,Court-1,OPEN
Wednesday,22:30,Court-1,OPEN
Wednesday,23:00,Court-1,OPEN
Wednesday,23:30,Court-1,OPEN
Thursday,06:00,Court-1,OPEN
Thursday,06:30,Court-1,OPEN
Thursday,07:00,Court-1,OPEN
Thursday,07:30,Court-1,OPEN
Thursday,08:00,Court-1,OPEN
Thursday,08:30,Court-1,OPEN
Thursday,09:00,Court-1,OPEN
Thursday,09:30,Court-1,OPEN
Thursday,10:00,Court-1,OPEN
Thursday,10:30,Court-1,OPEN
Thursday,11:00,Court-1,OPEN
Thursday,11:30,Court-1,OPEN
Thursday,12:00,Court-1,OPEN
Thursday,12:30,Court-1,OPEN
Thursday,13:00,Court-1,OPEN
Thursday,13:30,Court-1,OPEN
Thursday,14:00,Court-1,OPEN
Thursday,14:30,Court-1,OPEN
Thursday,15:00,Court-1,OPEN
Thursday,15:30,Court-1,OPEN
Thursday,16:00,Court-1,OPEN
Thursday,16:30,Court-1,OPEN
Thursday,17:00,Court-1,OPEN
Thursday,17:30,Court-1,OPEN
Thursday,18:00,Court-1,OPEN
Thursday,18:30,Court-1,OPEN
Thursday,19:00,Court-1,OPEN
Thursday,19:30,Court-1,OPEN
Thursday,20:00,Court-1,OPEN
Thursday,20:30,Court-1,OPEN
Thursday,21:00,Court-1,OPEN
Thursday,21:30,Court-1,OPEN
Thursday,22:00,Court-1,OPEN
Thursday,22:30,Court-1,OPEN
Thursday,23:00,Court-1,OPEN
Thursday,23:30,Court-1,OPEN
Friday,06:00,Court-1,OPEN
Friday,06:30,Court-1,OPEN
Friday,07:00,Court-1,OPEN
Friday,07:30,Court-1,OPEN
Friday,08:00,Court-1,OPEN
Friday,08:30,Court-1,OPEN
Friday,09:00,Court-1,OPEN
Friday,09:30,Court-1,OPEN
Friday,10:00,Court-1,OPEN
Friday,10:30,Court-1,OPEN
Friday,11:00,Court-1,OPEN
Friday,11:30,Court-1,OPEN
Friday,12:00,Court-1,OPEN
Friday,12:30,Court-1,OPEN
Friday,13:00,Court-1,OPEN
Friday,13:30,Court-1,OPEN
Friday,14:00,Court-1,OPEN
Friday,14:30,Court-1,OPEN
Friday,15:00,Court-1,OPEN
Friday,15:30,Court-1,OPEN
Friday,16:00,Court-1,OPEN
Friday,16:30,Court-1,OPEN
Friday,17:00,Court-1,OPEN
Friday,17:30,Court-1,OPEN
Friday,18:00,Court-1,OPEN
Friday,18:30,Court-1,OPEN
Friday,19:00,Court-1,OPEN
Friday,19:30,Court-1,OPEN
Friday,20:00,Court-1,OPEN
Friday,20:30,Court-1,OPEN
Friday,21:00,Court-1,OPEN
Friday,21:30,Court-1,OPEN
Friday,22:00,Court-1,OPEN
Friday,22:30,Court-1,OPEN
Friday,23:00,Court-1,OPEN
Friday,23:30,Court-1,OPEN
Saturday,06:00,Court-1,OPEN
Saturday,06:30,Court-1,OPEN
Saturday,07:00,Court-1,OPEN
Saturday,07:30,Court-1,OPEN
Saturday,08:00,Court-1,OPEN
Saturday,08:30,Court-1,OPEN
Saturday,09:00,Court-1,OPEN
Saturday,09:30,Court-1,OPEN
Saturday,10:00,Court-1,OPEN
Saturday,10:30,Court-1,OPEN
Saturday,11:00,Court-1,OPEN
Saturday,11:30,Court-1,OPEN
Saturday,12:00,Court-1,OPEN
Saturday,12:30,Court-1,OPEN
Saturday,13:00,Court-1,OPEN
